Artikelnummer;ShopPlus;Merk;Categorie;Productnaam;Productnaam (FR);Lange beschrijving;Korte beschrijving;Lange beschrijving (FR);Korte beschrijving (FR);Consumentenprijs (incl. BTW);BestelWeb;Packshot;Biolabel;Fairtradelabel;Herkomst;Bevat;Kan sporen bevatten van;Brutogewicht (kg);Lengte (mm);Breedte (mm);Hoogte (mm);BTW-tarief;Ingrediënten;Ingrediënten (FR);Energie (kJ);Vetten (g);Verzadigde vetten (g);Enkelvoudig onverzadigde vetten (g);Meervoudig onverzadigde vetten (g);Koolhydraten (g);Suikers (g);Polyolen (g);Zetmeel (g);Vezels (g);Eiwitten (g);Zout (g);Houdbaarheid (dagen);Netto-inhoud;Eenheid;Eenheidsprijs;EAN;Ompakhoeveelheid;Leeggoed;Gepubliceerd;Laatst bijgewerkt
20067;W10067;Oxfam Fair Trade;Wijn>Rood;Koopmanskloof Pinotage;Koopmanskloof Pinotage;Deze intense pinotage draagt aroma’s van granaatappel, vlierbes en groene kruiden. Harmonieus in de mond, met een frisse aanzet, mooi fruit, fijne zuren, zachte tannines en een koffietoets in de afdronk.;Lekker bij pittige kaas, kruidige stoofgerechten, gebraad en BBQ. Serveer op 14-16 °C. Gebotteld in Zuid-Afrika.;Cet intense Pinotage porte des arômes de grenade, de sureau et de fines herbes. Harmonieux en bouche, avec une amorce fraîche, des fruits, une belle acidité, des tannins souples et une touche de café dans l'arrière-goût.;Délicieux avec du fromage corsé, des ragoûts épicés, du rôti et BBQ. Servir à 14°-16° C. Mis en bouteille en Afrique du Sud.;6,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20067-600x600.jpg;Nee;Ja;Zuid-Afrika;sulfieten;/;1,2;80;80;299;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,00;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20068;W10068;Oxfam Fair Trade;Wijn>Rood;Campesino Carmenère;Campesino Carménère;Deze wijn met diepe robijnrode kleur heeft een expressieve neus van warm rijp fruit (kers, braambes, cassis), met eucalyptus en paprika, bouquet garni en lichte houttoetsen. In de mond is deze fruitbom zeer sappig en soepel, met een goede structuur, fijn verweven tannines en een warme afdronk.;Uitstekend bij de fijnere keuken met rijke sauzen, ook niet te versmaden bij de BBQ en gegrild vlees. Gebotteld in Chili.;Ce vin avec sa couleur intense de rubis a le nez de fruits mûrs (cerise, mûre, cassis) avec eucalyptus et paprika, bouquet garni et des touches de bois. Cette bombe de fruits est succulente et souple dans la bouche, avec une bonne texture, des tannines équilibrées et il est chaleureux en fin de bouche.;Excellent dans la cuisine fine et riche en sauces, et délicieux avec le barbecue et la viande grillée.;7,25;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20068-600x600.jpg;Nee;Ja;Chili;sulfieten;/;1,22;78;78;299;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,67;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20070;W10070;Oxfam Fair Trade;Wijn>Rood;VIDSECA País;VIDSECA País;Rijp rood fruit (kers, cuberdon) en delicate kruidigheid (eucalyptus, witte peper) in de neus. Verrassend zachte rode wijn met subtiel vol karakter.;Lekker bij lamsvlees en harde/oude kazen.;Fruits rouges mûrs (cerise, cuberdon) et épices délicats (eucalyptus, poivre blanc) dans le nez. Un vin rouge avec une douceur surprenante et un caractère subtilement rond.;Ce vin accompagne bien la viande d’agneau et les fromages affinés. Mis en bouteille au Chili.;7,50;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20070-600x600.jpg;Nee;Nee;Chili;sulfieten;/;1,18;75;75;302;21%;;;;;;;;;;;;;;;;75;cl;€/l 10,00;5,40016E+12;6;0,00;2018-01-31;2019-02-12
20071;W10071;Oxfam Fair Trade;Wijn>Rood;Lautaro Reserva;Lautaro Reserva;Deze rijke blend van cabernet (86%), carménère (9%) en merlot (5%) heeft een uitnodigend boeket met aroma’s van braambes en cassis, groene peper, laurier en vanilletoetsen door een jaar rijping op eiken vat. Een krachtige volle wijn, met mooi fruit, fluwelige tannine en een weelderige afdronk.;Lekker bij rood vlees en klassieke stoofgerechten. Gebotteld in Chili.;;;9,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20071-600x600.jpg;Nee;Ja;Chili;sulfieten;/;1,45;84;84;303;21%;;;;;;;;;;;;;;;;75;cl;€/l 12,60;5,40016E+12;6;0,00;2017-11-30;2019-02-12
20152;W10152;Oxfam Fair Trade;Wijn>Rosé;Koopmanskloof Rosé;Koopmanskloof Rosé;Deze pinotage rosé heeft een mooi aroma van rode bes en framboos, is fruitig en soepel in de mond en rondt af met een fijne fraîcheur. Ook prima als terraswijn: de wijn is licht en bovendien erg verfrissend.;Lekker bij slaatjes met fruitige vinaigrette en gebakken scampi's, bij vis of bij lichte vleesgerechten. Heel fris te schenken. Gebotteld in Zuid-Afrika.;Ce rosé dégage un arôme expressif de fruits rouges, de groseilles notamment. Une touche de poivre contrebalance les nuances douces.;Consommez ce rosé souple et accessible avec des plats légers, des salades avec une vinaigrette fruitée et des scampis poêlés. Il s'harmonisera également avec du poisson ou des mets de viande blanche. Et c'est bien sûr aussi un vin de terrasse idéal. A servir très frais (8°-10° C). Mis en bouteille en Afrique du Sud.;5,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20152-600x600.jpg;Nee;Ja;Zuid-Afrika;sulfieten;/;1,2;80;80;299;21%;;;;;;;;;;;;;;;;75;cl;€/l 7,93;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20154;W10154;Oxfam Fair Trade;Wijn>Rosé;BIO La Posada Syrah Rosé;La Posada Syrah Rosé bio;Deze biologische syrah rosé wordt geproduceerd door de coöperatie La Riojana, in de Famatina-vallei in het noordwesten van Argentinië. De wijn is vrij complex, met in de neus fris rood fruit. De smaak is vol, sappig en rond, met een fijne fraîcheur in de finale.;Prima als aperitief, bij lichte maaltijden en BBQ's. Gebotteld in Argentinië.;Ce vin Syrah rosé biologique est produit par la coopérative La Riojana, dans la vallée de Famatina, au nord-ouest de l’Argentine. Ce vin est assez complexe et dans le nez nous sentons des fruits rouges frais. Le goût est plein, savoureux et rond avec une arrière-bouche fine et fraîche.;Parfait en apéritif, avec un repas léger ou un barbecue. Mis en bouteille en Argentine.;6,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20154-600x600.jpg;Ja;Ja;Argentinië;sulfieten;/;1,15;74;74;288;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,27;5,40016E+12;6;0,00;2017-08-31;2019-02-12
20211;W10211;Oxfam Fair Trade;Wijn>Wit;BIO La Posada Torrontés;La Posada Torrontés bio;Deze droge witte wijn is een blend van torrontés druiven met een eerder bloemrijke, kruidige toets en sauvignon blanc druiven met een hint van citrus. Het resultaat is een verrukkelijke frisse wijn met een fijn aroma van tropische vruchten.;Lekker bij zomerse slaatjes, schelpdieren en Thaïse keuken. Serveer op 8-10 °C. Gebotteld in Argentinië.;Ce vin blanc sec est un mélange de cépage Sauvignon Blanc avec un soupçon d’agrumes et de torrontés avec une touche épicée, plutôt fleurie. Ceci a pour résultat un vin frais avec les saveurs de fruits tropicaux.;Servir avec des salades d'été, fruits de mer et la cuisine thaïlandaise. Servir à 8-10 °C. Mis en bouteille en Argentine.;7,60;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20211-600x600.jpg;Ja;Ja;Argentinië;sulfieten;melk;1,15;74;74;288;21%;;;;;;;;;;;;;;;;75;cl;€/l 10,13;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20212;W10212;Oxfam Fair Trade;Wijn>Wit;Lautaro Sauvignon Blanc;Lautaro Sauvignon Blanc;Een sauvignon blanc met een frisse, plezierige aanzet en een intense smaak van citrusvruchten. Hij bezit een zachte structuur waar bij de finale grassigheid opduikt.;Lekker bij paling in ’t groen, spinazie, gebakken vis, groene kruiden. Serveer op 8-10 °C. Gebotteld in Chili.;Ce Sauvignon Blanc développe des arômes fruités de pomme mûre et de poire, ainsi qu’un léger côté herbacé. Très agréable au nez, il offre une attaque fraîche avec une saveur intense de citron. De courte persistance, ce vin laisse en finale une pointe de gras.;Conseillé avec de l’anguille en vert, des épinards, des poissons cuits et des salades vertes. Servir à 8-10 °C. Mis en bouteille en Chili.;6,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20212-600x600.jpg;Nee;Ja;Chili;sulfieten;/;1,215;75;75;310;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,27;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20225;W10225;Oxfam Fair Trade;Wijn>Wit;Koopmanskloof Chenin Blanc;Koopmanskloof Chenin Blanc;Deze klassieke chenin blanc heeft intense geuren van limoen, kweepeer en tropisch fruit, een delicaat ananasaroma en een zuivere, frisse afdronk.;Lekker bij zeevruchten, salades en pasta. Serveer op 8-10 °C. Gebotteld in Zuid-Afrika.;Ce chenin blanc classic a le nez intense de citron vert, coing et fruits tropicaux, un arôme délicat d’ananas et une fin de bouche pûre.;Délicieux avec les fruits de mer, les salades et les pâtes. Servir à 8-10 °C. Mis en bouteille en Afrique du Sud.;6,20;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20225-600x600.jpg;Nee;Ja;Zuid-Afrika;sulfieten;/;1,2;80;80;299;21%;;;;;;;;;;;;;;;;75;cl;€/l 8,27;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20249;W10249;Oxfam Fair Trade;Wijn>Wit;Chenin Blanc BOX 3 l;Chenin Blanc BOX 3 l;Deze wijn oogt aantrekkelijk met een witgele schijn en heldere spiegel. In de mond treft men fruitige tonen van pompelmoes, rijpe peer en ananas die vol en sappig zijn. De opvallende aciditeit zorgt voor een frisse afdronk. Een soepele drinkwijn.;Lekker bij mediterrane visgerechten, slaatjes en licht pikante oosterse gerechten. Serveer op 8-10 °C. In bag-in-box verpakking met de inhoud van 4 flessen.;Dans le verre il se présente avec une couleur jaune pâle et clair. Les arômes fruités de pamplemousse, de poire mûre et d'ananas se confirment finement en bouche. Il est rond et juteux, avec en finale une pointe douceâtre.;Un vin gouleyant et souple en terrasse, qui accompagnera également bien les plats de poissons méditerranéens, les salades et les mets orientaux pas trop relevés. Servir à 8-10 °C. Ce outre à vin contient l'équivalent de 4 bouteilles.;16,85;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20249-600x600.jpg;Nee;Ja;Zuid-Afrika;sulfieten;/;3,1;80;190;250;21%;;;;;;;;;;;;;;;360;300;cl;€/l 5,62;5,40016E+12;4;0,00;2016-12-31;2019-02-12
20250;W10250;Oxfam Fair Trade;Wijn>Wit;Sauvignon Blanc BOX 3 l;Sauvignon Blanc BOX 3 l;Een goede mondvullende, fruitige wijn. Jong te drinken.;Ideaal bij rijstgerechten en zachte curries. Kan ook als aperitief gedronken worden. Serveer op 8-10 °C. In bag-in-box verpakking met de inhoud van 4 flessen.;Vin fruité avec une belle structure en bouche. A boire jeune.;Fera un compagnon idéal des plats de riz ou des currys doux. Se boit aussi en apéritif. Servir à 8-10 °C. Ce outre à vin contient l'équivalent de 4 bouteilles.;16,95;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20250-600x600.jpg;Nee;Ja;Chili;sulfieten;/;3,2;123;128;230;21%;;;;;;;;;;;;;;;;300;cl;€/l 5,65;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20252;W10252;Oxfam Fair Trade;Wijn>Wit;Sauvignon Blanc 25 cl;Sauvignon Blanc 25 cl;Een goede mondvullende, fruitige wijn. Jong te drinken.;Ideaal bij rijstgerechten en zachte curries. Kan ook als aperitief gedronken worden. Serveer op 8-10 °C.;Vin fruité avec une belle structure en bouche. A boire jeune.;Fera un compagnon idéal avec des plats de riz ou des currys doux. Se boit aussi en apéritif. Servir à 8-10 °C.;2,05;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20252-600x600.jpg;Nee;Ja;Chili;sulfieten;/;0,45;53;53;200;21%;;;;;;;;;;;;;;;;25;cl;€/l 8,20;5,40016E+12;20;0,00;2016-12-31;2019-02-12
20253;W10253;Oxfam Fair Trade;Wijn>Wit;Sauvignon Blanc 75 cl;Sauvignon Blanc 75 cl;Een goede mondvullende, fruitige wijn. Jong te drinken.;Ideaal bij rijstgerechten en zachte curries. Kan ook als aperitief gedronken worden. Serveer op 8-10 °C.;Vin fruité avec une belle structure en bouche. A boire jeune.;Fera un compagnon idéal avec des plats de riz ou des currys doux. Se boit aussi en apéritif. Servir à 8-10 °C.;4,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20253-600x600.jpg;Nee;Ja;Chili;sulfieten;/;1,34;74;74;314;21%;;;;;;;;;;;;;;;;75;cl;€/l 6,33;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20257;W10257;Oxfam Fair Trade;Wijn>Wit;Chenin Blanc;Chenin Blanc;Deze wijn oogt aantrekkelijk met een witgele schijn en heldere spiegel. In de mond treft men fruitige tonen van pompelmoes, rijpe peer en ananas die vol en sappig zijn. De opvallende aciditeit zorgt voor een frisse afdronk. Een soepele drinkwijn.;Lekker bij mediterrane visgerechten, slaatjes en licht pikante oosterse gerechten. Serveer op 8-10 °C.;Dans le verre il se présente avec une couleur jaune pâle et clair. Les arômes fruités de pamplemousse, de poire mûre et d'ananas se confirment finement en bouche. Il est rond et juteux, avec en finale une pointe douceâtre.;Un vin gouleyant et souple en terrasse, qui accompagnera également bien les plats de poissons méditerranéens, les salades et les mets orientaux pas trop relevés. Servir à 8-10 °C.;4,90;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20257-600x600.jpg;Nee;Ja;Zuid-Afrika;sulfieten;/;1,25;75;75;300;21%;;;;;;;;;;;;;;;;75;cl;€/l 6,53;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20258;W10258;Oxfam Fair Trade;Wijn>Wit;RAZA Torrontés Reserva;RAZA Torrontés Reserva;In het glas geeft deze torrontés Reserva een opvallende helderheid en verleidelijke tonen van exotisch fruit. In de mond is deze wijn zeer aromatisch, vol rond en zeer sappig, met een herkenbare smaak van de muskaatdruif, rijpe ananas en perzik.;Lekker bij lichte exotische gerechten met kruiden en specerijen of wokgerechten op basis van kip, vis, kurkuma, koriander of curry. Serveer op 10-12 °C. Gebotteld in Argentinië.;Dans le verre ce Torrentés Reserva se montre très brillant et il séduit au nez par ces arômes de fruits exotiques. En bouche, il est aromatique, bien rond et juteux. On y détecte facilement le gôut caractéristique du raisin de muscat , accompagné d'ananas mûr et de pêche.;Ce vin accompagnera à merveille les plats exotiques aux herbes et aux épices ou encore les plats wok à base de poulet, poisson, curcuma, coriandre ou curry. A servir à 10-12 °C. Mis en bouteille en Argentine.;8,75;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20258-600x600.jpg;Nee;Ja;Argentinië;sulfieten;melk;1,31;75;75;300;21%;;;;;;;;;;;;;;;;75;cl;€/l 11,67;5,40016E+12;6;0,00;2016-12-31;2019-02-12
20260;W10260;Oxfam Fair Trade;Wijn>Wit;RAZA Pinot Gris;RAZA Pinot Gris;Deze levendige en fruitige pinot gris combineert delicate florale aroma's met verfrissende appel, ananas en citrus toetsen.;Prima als aperitief of om zo te drinken. Heerlijk bij Thaise curry, romige pasta's, gegrilde vis en kruidige kip. Gebotteld in Argentinië.;Ce pinot gris vivant et fruité révèle des arômes floraux combinés avec des touches de pomme, ananas et agrume.;A boire comme apéritif ou comme verre de vin blanc. Délicieux avec un curry thaï, avec des pâtes crèmeuses, avec le poisson grillé et avec du poulet épicé. Mis en bouteille en Argentine.;7,25;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20260-600x600.jpg;Nee;Ja;Argentinië;sulfieten;melk;1,25;75;75;302;21%;;;;;;;;;;;;;;;;75;cl;€/l 9,67;5,40016E+12;6;0,00;2017-05-31;2019-02-12
20261;W10261;Oxfam Fair Trade;Wijn>Wit;Koopmanskloof Chardonnay;Koopmanskloof Chardonnay;Een fruit gedreven chardonnay, met in de neus levendige tropische aroma’s, limoen en oranjebloesem. Harmonieus mondgevoel, met volle body en frisse finale.;"Winnaar van een gouden medaille op de internationale Michelangelo-wijnwedstrijd!

Lekker bij slaatjes en exotische vis- en kipgerechten, en perfect als aperitief. Gebotteld in Zuid-Afrika.";;Mis en bouteille en Afrique du Sud.;6,50;onbackorder;https://www.oxfamfairtrade.be/wp-content/uploads/20261-600x600.jpg;Nee;Ja;Zuid-Afrika;sulfieten;/;1,2;80;80;299;21%;;;;;;;;;;;;;;;;75;cl;€/l 8,67;5,40016E+12;6;0,00;2017-11-30;2019-02-12
20409;W10409;Oxfam Fair Trade;"Snacks &amp; drinks>Spirits";Alto Del Carmen Pisco Cremisse;Alto Del Carmen Pisco Cremisse;Likeur gebaseerd op Alto del Carmen-pisco en room met de kleur van koffie met melk. In de neus krijg je een intense zoetheid met het aroma van karamel. Drink het puur, met ijs of gebruik als cocktailbasis. Gebotteld in Chili. Alcoholvolume 17%.;Likeur gebaseerd op pisco en room, met de kleur van koffie met melk. Drink hem puur, met ijs of als cocktailbasis.;Voici une liqueur à base de pisco Alto del Carmen et de la crème fraîche, couleur café au lait. Au nez une douceur intense aux arômes de caramelle. Buvez-le pur, avec de la glace, ou bien utilisez-le comme base de cocktails. Mise en bouteille au Chili, 17° alc/vol.;;16,45;instock;https://www.oxfamfairtrade.be/wp-content/uploads/20409-600x600.jpg;Nee;Nee;Chili;melk;/;1,366;90;90;243;21%;;;1428;9,6;5,6;2;2;30,5;30,5;;;;3,6;0,2;;70;cl;€/l 23,50;5,40016E+12;6;0,00;2016-12-31;2019-02-12
